population,popMeanD,popSDD
meanDD0.5_varDD0.2_ploidy4_nQTL5000_nSNP100_nChr10_rep8,3.6E-05,0.0108
meanDD0.5_varDD0.2_ploidy4_nQTL5000_nSNP100_nChr10_rep9,1.2E-05,0.0106
meanDD0.5_varDD0.2_ploidy6_nQTL100_nSNP100_nChr10_rep1,1.4E-05,0.0097
meanDD0.5_varDD0.2_ploidy6_nQTL100_nSNP100_nChr10_rep10,-8.8E-06,0.0093
meanDD0.5_varDD0.2_ploidy6_nQTL100_nSNP100_nChr10_rep2,3.4E-06,0.0095
meanDD0.5_varDD0.2_ploidy6_nQTL100_nSNP100_nChr10_rep3,-2.0E-06,0.0095
meanDD0.5_varDD0.2_ploidy6_nQTL100_nSNP100_nChr10_rep4,2.4E-05,0.0098
meanDD0.5_varDD0.2_ploidy6_nQTL100_nSNP100_nChr10_rep5,2.8E-05,0.0089
meanDD0.5_varDD0.2_ploidy6_nQTL100_nSNP100_nChr10_rep6,1.9E-05,0.0090
meanDD0.5_varDD0.2_ploidy6_nQTL100_nSNP100_nChr10_rep7,1.5E-05,0.0094
meanDD0.5_varDD0.2_ploidy6_nQTL100_nSNP100_nChr10_rep8,-1.5E-05,0.0096
meanDD0.5_varDD0.2_ploidy6_nQTL100_nSNP100_nChr10_rep9,-1.1E-05,0.0091
meanDD0.5_varDD0.2_ploidy6_nQTL1000_nSNP100_nChr10_rep1,-4.9E-06,0.0094
meanDD0.5_varDD0.2_ploidy6_nQTL1000_nSNP100_nChr10_rep10,3.3E-05,0.0095
meanDD0.5_varDD0.2_ploidy6_nQTL1000_nSNP100_nChr10_rep2,-1.0E-05,0.0100
meanDD0.5_varDD0.2_ploidy6_nQTL1000_nSNP100_nChr10_rep3,1.6E-05,0.0098
meanDD0.5_varDD0.2_ploidy6_nQTL1000_nSNP100_nChr10_rep4,-1.9E-05,0.0094
meanDD0.5_varDD0.2_ploidy6_nQTL1000_nSNP100_nChr10_rep5,-5.6E-06,0.0093
meanDD0.5_varDD0.2_ploidy6_nQTL1000_nSNP100_nChr10_rep6,-2.4E-05,0.0096
meanDD0.5_varDD0.2_ploidy6_nQTL1000_nSNP100_nChr10_rep7,-1.3E-06,0.0093
meanDD0.5_varDD0.2_ploidy6_nQTL1000_nSNP100_nChr10_rep8,1.2E-05,0.0096
meanDD0.5_varDD0.2_ploidy6_nQTL1000_nSNP100_nChr10_rep9,1.1E-05,0.0097
meanDD0.5_varDD0.2_ploidy6_nQTL5000_nSNP100_nChr10_rep1,-2.2E-06,0.0097
meanDD0.5_varDD0.2_ploidy6_nQTL5000_nSNP100_nChr10_rep10,9.7E-06,0.0094
meanDD0.5_varDD0.2_ploidy6_nQTL5000_nSNP100_nChr10_rep2,1.9E-05,0.0099
meanDD0.5_varDD0.2_ploidy6_nQTL5000_nSNP100_nChr10_rep3,2.1E-05,0.0097
meanDD0.5_varDD0.2_ploidy6_nQTL5000_nSNP100_nChr10_rep4,1.4E-06,0.0096
meanDD0.5_varDD0.2_ploidy6_nQTL5000_nSNP100_nChr10_rep5,5.3E-06,0.0099
meanDD0.5_varDD0.2_ploidy6_nQTL5000_nSNP100_nChr10_rep6,3.1E-06,0.0095
meanDD0.5_varDD0.2_ploidy6_nQTL5000_nSNP100_nChr10_rep7,9.4E-06,0.0092
meanDD0.5_varDD0.2_ploidy6_nQTL5000_nSNP100_nChr10_rep8,2.5E-05,0.0096
meanDD0.5_varDD0.2_ploidy6_nQTL5000_nSNP100_nChr10_rep9,3.9E-06,0.0098
meanDD0.5_varDD0_ploidy2_nQTL100_nSNP100_nChr10_rep1,2.7E-05,0.0138
meanDD0.5_varDD0_ploidy2_nQTL100_nSNP100_nChr10_rep10,6.1E-05,0.0141
meanDD0.5_varDD0_ploidy2_nQTL100_nSNP100_nChr10_rep2,3.3E-05,0.0140
meanDD0.5_varDD0_ploidy2_nQTL100_nSNP100_nChr10_rep3,-1.8E-05,0.0143
meanDD0.5_varDD0_ploidy2_nQTL100_nSNP100_nChr10_rep4,4.6E-06,0.0133
meanDD0.5_varDD0_ploidy2_nQTL100_nSNP100_nChr10_rep5,1.7E-05,0.0141
meanDD0.5_varDD0_ploidy2_nQTL100_nSNP100_nChr10_rep6,3.6E-05,0.0139
meanDD0.5_varDD0_ploidy2_nQTL100_nSNP100_nChr10_rep7,7.0E-06,0.0139
meanDD0.5_varDD0_ploidy2_nQTL100_nSNP100_nChr10_rep8,2.2E-05,0.0141
meanDD0.5_varDD0_ploidy2_nQTL100_nSNP100_nChr10_rep9,1.7E-05,0.0145
meanDD0.5_varDD0_ploidy2_nQTL1000_nSNP100_nChr10_rep1,2.2E-05,0.0140
meanDD0.5_varDD0_ploidy2_nQTL1000_nSNP100_nChr10_rep10,4.2E-05,0.0135
meanDD0.5_varDD0_ploidy2_nQTL1000_nSNP100_nChr10_rep2,3.1E-06,0.0141
meanDD0.5_varDD0_ploidy2_nQTL1000_nSNP100_nChr10_rep3,1.5E-05,0.0140
meanDD0.5_varDD0_ploidy2_nQTL1000_nSNP100_nChr10_rep4,1.0E-05,0.0142
meanDD0.5_varDD0_ploidy2_nQTL1000_nSNP100_nChr10_rep5,3.0E-05,0.0137
meanDD0.5_varDD0_ploidy2_nQTL1000_nSNP100_nChr10_rep6,3.2E-05,0.0134
meanDD0.5_varDD0_ploidy2_nQTL1000_nSNP100_nChr10_rep7,1.9E-05,0.0143
meanDD0.5_varDD0_ploidy2_nQTL1000_nSNP100_nChr10_rep8,3.0E-05,0.0139
meanDD0.5_varDD0_ploidy2_nQTL1000_nSNP100_nChr10_rep9,4.4E-05,0.0140
meanDD0.5_varDD0_ploidy2_nQTL5000_nSNP100_nChr10_rep1,1.3E-05,0.0137
meanDD0.5_varDD0_ploidy2_nQTL5000_nSNP100_nChr10_rep10,9.6E-06,0.0139
meanDD0.5_varDD0_ploidy2_nQTL5000_nSNP100_nChr10_rep2,-2.0E-05,0.0140
meanDD0.5_varDD0_ploidy2_nQTL5000_nSNP100_nChr10_rep3,4.8E-05,0.0141
meanDD0.5_varDD0_ploidy2_nQTL5000_nSNP100_nChr10_rep4,6.4E-05,0.0135
meanDD0.5_varDD0_ploidy2_nQTL5000_nSNP100_nChr10_rep5,4.3E-06,0.0146
meanDD0.5_varDD0_ploidy2_nQTL5000_nSNP100_nChr10_rep6,5.8E-05,0.0135
meanDD0.5_varDD0_ploidy2_nQTL5000_nSNP100_nChr10_rep7,5.7E-05,0.0135
meanDD0.5_varDD0_ploidy2_nQTL5000_nSNP100_nChr10_rep8,6.3E-05,0.0142
meanDD0.5_varDD0_ploidy2_nQTL5000_nSNP100_nChr10_rep9,2.3E-05,0.0134
meanDD0.5_varDD0_ploidy4_nQTL100_nSNP100_nChr10_rep1,1.6E-05,0.0105
meanDD0.5_varDD0_ploidy4_nQTL100_nSNP100_nChr10_rep10,-5.6E-06,0.0110
meanDD0.5_varDD0_ploidy4_nQTL100_nSNP100_nChr10_rep2,-1.5E-05,0.0104
meanDD0.5_varDD0_ploidy4_nQTL100_nSNP100_nChr10_rep3,-4.9E-06,0.0107
meanDD0.5_varDD0_ploidy4_nQTL100_nSNP100_nChr10_rep4,2.8E-06,0.0111
meanDD0.5_varDD0_ploidy4_nQTL100_nSNP100_nChr10_rep5,2.0E-05,0.0105
meanDD0.5_varDD0_ploidy4_nQTL100_nSNP100_nChr10_rep6,-5.3E-06,0.0103
meanDD0.5_varDD0_ploidy4_nQTL100_nSNP100_nChr10_rep7,1.9E-05,0.0108
meanDD0.5_varDD0_ploidy4_nQTL100_nSNP100_nChr10_rep8,1.9E-05,0.0108
meanDD0.5_varDD0_ploidy4_nQTL100_nSNP100_nChr10_rep9,1.3E-05,0.0108
meanDD0.5_varDD0_ploidy4_nQTL1000_nSNP100_nChr10_rep1,-1.1E-05,0.0109
meanDD0.5_varDD0_ploidy4_nQTL1000_nSNP100_nChr10_rep10,4.8E-05,0.0114
meanDD0.5_varDD0_ploidy4_nQTL1000_nSNP100_nChr10_rep2,2.2E-06,0.0102
meanDD0.5_varDD0_ploidy4_nQTL1000_nSNP100_nChr10_rep3,1.5E-05,0.0103
meanDD0.5_varDD0_ploidy4_nQTL1000_nSNP100_nChr10_rep4,-9.4E-07,0.0108
meanDD0.5_varDD0_ploidy4_nQTL1000_nSNP100_nChr10_rep5,1.4E-06,0.0109
meanDD0.5_varDD0_ploidy4_nQTL1000_nSNP100_nChr10_rep6,2.1E-05,0.0111
meanDD0.5_varDD0_ploidy4_nQTL1000_nSNP100_nChr10_rep7,2.9E-05,0.0107
meanDD0.5_varDD0_ploidy4_nQTL1000_nSNP100_nChr10_rep8,4.0E-06,0.0108
meanDD0.5_varDD0_ploidy4_nQTL1000_nSNP100_nChr10_rep9,9.2E-06,0.0104
meanDD0.5_varDD0_ploidy4_nQTL5000_nSNP100_nChr10_rep1,-4.9E-06,0.0105
meanDD0.5_varDD0_ploidy4_nQTL5000_nSNP100_nChr10_rep10,6.0E-06,0.0107
meanDD0.5_varDD0_ploidy4_nQTL5000_nSNP100_nChr10_rep2,3.9E-06,0.0109
meanDD0.5_varDD0_ploidy4_nQTL5000_nSNP100_nChr10_rep3,4.0E-05,0.0112
meanDD0.5_varDD0_ploidy4_nQTL5000_nSNP100_nChr10_rep4,1.9E-05,0.0109
meanDD0.5_varDD0_ploidy4_nQTL5000_nSNP100_nChr10_rep5,9.8E-06,0.0107
meanDD0.5_varDD0_ploidy4_nQTL5000_nSNP100_nChr10_rep6,-5.9E-06,0.0109
meanDD0.5_varDD0_ploidy4_nQTL5000_nSNP100_nChr10_rep7,3.0E-05,0.0111
meanDD0.5_varDD0_ploidy4_nQTL5000_nSNP100_nChr10_rep8,1.5E-05,0.0105
meanDD0.5_varDD0_ploidy4_nQTL5000_nSNP100_nChr10_rep9,1.1E-05,0.0112
meanDD0.5_varDD0_ploidy6_nQTL100_nSNP100_nChr10_rep1,6.2E-06,0.0094
meanDD0.5_varDD0_ploidy6_nQTL100_nSNP100_nChr10_rep10,1.8E-05,0.0096
meanDD0.5_varDD0_ploidy6_nQTL100_nSNP100_nChr10_rep2,3.5E-05,0.0093
meanDD0.5_varDD0_ploidy6_nQTL100_nSNP100_nChr10_rep3,-1.9E-06,0.0097
meanDD0.5_varDD0_ploidy6_nQTL100_nSNP100_nChr10_rep4,-1.7E-06,0.0100
meanDD0.5_varDD0_ploidy6_nQTL100_nSNP100_nChr10_rep5,5.5E-06,0.0098
meanDD0.5_varDD0_ploidy6_nQTL100_nSNP100_nChr10_rep6,2.8E-06,0.0095
meanDD0.5_varDD0_ploidy6_nQTL100_nSNP100_nChr10_rep7,2.1E-05,0.0092
meanDD0.5_varDD0_ploidy6_nQTL100_nSNP100_nChr10_rep8,-6.2E-06,0.0094
meanDD0.5_varDD0_ploidy6_nQTL100_nSNP100_nChr10_rep9,6.8E-07,0.0093
meanDD0.5_varDD0_ploidy6_nQTL1000_nSNP100_nChr10_rep1,-7.9E-06,0.0097
meanDD0.5_varDD0_ploidy6_nQTL1000_nSNP100_nChr10_rep10,4.2E-06,0.0096
meanDD0.5_varDD0_ploidy6_nQTL1000_nSNP100_nChr10_rep2,5.0E-06,0.0094
meanDD0.5_varDD0_ploidy6_nQTL1000_nSNP100_nChr10_rep3,3.5E-05,0.0094
meanDD0.5_varDD0_ploidy6_nQTL1000_nSNP100_nChr10_rep4,-1.1E-05,0.0091
meanDD0.5_varDD0_ploidy6_nQTL1000_nSNP100_nChr10_rep5,9.2E-06,0.0092
meanDD0.5_varDD0_ploidy6_nQTL1000_nSNP100_nChr10_rep6,2.4E-05,0.0098
meanDD0.5_varDD0_ploidy6_nQTL1000_nSNP100_nChr10_rep7,4.6E-06,0.0097
meanDD0.5_varDD0_ploidy6_nQTL1000_nSNP100_nChr10_rep8,-1.3E-05,0.0098
meanDD0.5_varDD0_ploidy6_nQTL1000_nSNP100_nChr10_rep9,1.7E-05,0.0097
meanDD0.5_varDD0_ploidy6_nQTL5000_nSNP100_nChr10_rep1,6.0E-06,0.0096
meanDD0.5_varDD0_ploidy6_nQTL5000_nSNP100_nChr10_rep10,7.2E-06,0.0096
meanDD0.5_varDD0_ploidy6_nQTL5000_nSNP100_nChr10_rep2,5.7E-06,0.0094
meanDD0.5_varDD0_ploidy6_nQTL5000_nSNP100_nChr10_rep3,-1.2E-05,0.0094
meanDD0.5_varDD0_ploidy6_nQTL5000_nSNP100_nChr10_rep4,8.5E-06,0.0094
meanDD0.5_varDD0_ploidy6_nQTL5000_nSNP100_nChr10_rep5,2.8E-05,0.0095
meanDD0.5_varDD0_ploidy6_nQTL5000_nSNP100_nChr10_rep6,4.3E-05,0.0093
meanDD0.5_varDD0_ploidy6_nQTL5000_nSNP100_nChr10_rep7,6.9E-06,0.0098
meanDD0.5_varDD0_ploidy6_nQTL5000_nSNP100_nChr10_rep8,9.8E-06,0.0097
meanDD0.5_varDD0_ploidy6_nQTL5000_nSNP100_nChr10_rep9,2.3E-05,0.0095
meanDD0.5_varDD1_ploidy2_nQTL100_nSNP100_nChr10_rep1,2.7E-05,0.0135
meanDD0.5_varDD1_ploidy2_nQTL100_nSNP100_nChr10_rep10,3.0E-05,0.0136
meanDD0.5_varDD1_ploidy2_nQTL100_nSNP100_nChr10_rep2,4.1E-05,0.0138
meanDD0.5_varDD1_ploidy2_nQTL100_nSNP100_nChr10_rep3,2.9E-05,0.0134
meanDD0.5_varDD1_ploidy2_nQTL100_nSNP100_nChr10_rep4,1.0E-05,0.0136
meanDD0.5_varDD1_ploidy2_nQTL100_nSNP100_nChr10_rep5,1.9E-05,0.0140
meanDD0.5_varDD1_ploidy2_nQTL100_nSNP100_nChr10_rep6,-5.2E-06,0.0138
meanDD0.5_varDD1_ploidy2_nQTL100_nSNP100_nChr10_rep7,2.1E-05,0.0142
meanDD0.5_varDD1_ploidy2_nQTL100_nSNP100_nChr10_rep8,1.4E-05,0.0142
meanDD0.5_varDD1_ploidy2_nQTL100_nSNP100_nChr10_rep9,6.9E-06,0.0144
meanDD0.5_varDD1_ploidy2_nQTL1000_nSNP100_nChr10_rep1,2.3E-05,0.0146
meanDD0.5_varDD1_ploidy2_nQTL1000_nSNP100_nChr10_rep10,1.1E-05,0.0141
meanDD0.5_varDD1_ploidy2_nQTL1000_nSNP100_nChr10_rep2,2.9E-05,0.0137
meanDD0.5_varDD1_ploidy2_nQTL1000_nSNP100_nChr10_rep3,6.6E-06,0.0134
meanDD0.5_varDD1_ploidy2_nQTL1000_nSNP100_nChr10_rep4,3.7E-05,0.0138
meanDD0.5_varDD1_ploidy2_nQTL1000_nSNP100_nChr10_rep5,4.8E-05,0.0141
meanDD0.5_varDD1_ploidy2_nQTL1000_nSNP100_nChr10_rep6,1.9E-05,0.0140
meanDD0.5_varDD1_ploidy2_nQTL1000_nSNP100_nChr10_rep7,7.2E-05,0.0142
meanDD0.5_varDD1_ploidy2_nQTL1000_nSNP100_nChr10_rep8,-5.0E-06,0.0141
meanDD0.5_varDD1_ploidy2_nQTL1000_nSNP100_nChr10_rep9,2.5E-05,0.0141
meanDD0.5_varDD1_ploidy2_nQTL5000_nSNP100_nChr10_rep1,-9.9E-06,0.0137
meanDD0.5_varDD1_ploidy2_nQTL5000_nSNP100_nChr10_rep10,1.0E-05,0.0135
meanDD0.5_varDD1_ploidy2_nQTL5000_nSNP100_nChr10_rep2,2.0E-05,0.0142
meanDD0.5_varDD1_ploidy2_nQTL5000_nSNP100_nChr10_rep3,2.0E-05,0.0141
meanDD0.5_varDD1_ploidy2_nQTL5000_nSNP100_nChr10_rep4,3.6E-05,0.0138
meanDD0.5_varDD1_ploidy2_nQTL5000_nSNP100_nChr10_rep5,4.5E-05,0.0142
meanDD0.5_varDD1_ploidy2_nQTL5000_nSNP100_nChr10_rep6,3.3E-05,0.0147
meanDD0.5_varDD1_ploidy2_nQTL5000_nSNP100_nChr10_rep7,3.5E-06,0.0138
meanDD0.5_varDD1_ploidy2_nQTL5000_nSNP100_nChr10_rep8,9.4E-06,0.0144
meanDD0.5_varDD1_ploidy2_nQTL5000_nSNP100_nChr10_rep9,4.1E-05,0.0139
meanDD0.5_varDD1_ploidy4_nQTL100_nSNP100_nChr10_rep1,-5.4E-06,0.0108
meanDD0.5_varDD1_ploidy4_nQTL100_nSNP100_nChr10_rep10,4.2E-05,0.0104
meanDD0.5_varDD1_ploidy4_nQTL100_nSNP100_nChr10_rep2,6.1E-06,0.0112
meanDD0.5_varDD1_ploidy4_nQTL100_nSNP100_nChr10_rep3,1.2E-05,0.0109
meanDD0.5_varDD1_ploidy4_nQTL100_nSNP100_nChr10_rep4,9.2E-06,0.0107
meanDD0.5_varDD1_ploidy4_nQTL100_nSNP100_nChr10_rep5,1.4E-05,0.0109
meanDD0.5_varDD1_ploidy4_nQTL100_nSNP100_nChr10_rep6,-3.5E-05,0.0112
meanDD0.5_varDD1_ploidy4_nQTL100_nSNP100_nChr10_rep7,3.0E-05,0.0114
meanDD0.5_varDD1_ploidy4_nQTL100_nSNP100_nChr10_rep8,2.2E-05,0.0110
meanDD0.5_varDD1_ploidy4_nQTL100_nSNP100_nChr10_rep9,5.3E-05,0.0110
meanDD0.5_varDD1_ploidy4_nQTL1000_nSNP100_nChr10_rep1,-1.1E-05,0.0113
meanDD0.5_varDD1_ploidy4_nQTL1000_nSNP100_nChr10_rep10,2.0E-05,0.0107
meanDD0.5_varDD1_ploidy4_nQTL1000_nSNP100_nChr10_rep2,3.8E-06,0.0110
meanDD0.5_varDD1_ploidy4_nQTL1000_nSNP100_nChr10_rep3,9.1E-06,0.0103
meanDD0.5_varDD1_ploidy4_nQTL1000_nSNP100_nChr10_rep4,5.3E-05,0.0104
meanDD0.5_varDD1_ploidy4_nQTL1000_nSNP100_nChr10_rep5,3.3E-05,0.0109
meanDD0.5_varDD1_ploidy4_nQTL1000_nSNP100_nChr10_rep6,1.9E-05,0.0108
meanDD0.5_varDD1_ploidy4_nQTL1000_nSNP100_nChr10_rep7,5.3E-06,0.0110
meanDD0.5_varDD1_ploidy4_nQTL1000_nSNP100_nChr10_rep8,1.3E-05,0.0108
meanDD0.5_varDD1_ploidy4_nQTL1000_nSNP100_nChr10_rep9,-8.0E-06,0.0108
meanDD0.5_varDD1_ploidy4_nQTL5000_nSNP100_nChr10_rep1,-8.4E-07,0.0112
meanDD0.5_varDD1_ploidy4_nQTL5000_nSNP100_nChr10_rep10,2.7E-05,0.0110
meanDD0.5_varDD1_ploidy4_nQTL5000_nSNP100_nChr10_rep2,1.6E-05,0.0113
meanDD0.5_varDD1_ploidy4_nQTL5000_nSNP100_nChr10_rep3,1.8E-05,0.0110
meanDD0.5_varDD1_ploidy4_nQTL5000_nSNP100_nChr10_rep4,1.3E-05,0.0114
meanDD0.5_varDD1_ploidy4_nQTL5000_nSNP100_nChr10_rep5,1.0E-05,0.0103
meanDD0.5_varDD1_ploidy4_nQTL5000_nSNP100_nChr10_rep6,1.8E-05,0.0108
meanDD0.5_varDD1_ploidy4_nQTL5000_nSNP100_nChr10_rep7,-8.0E-06,0.0106
meanDD0.5_varDD1_ploidy4_nQTL5000_nSNP100_nChr10_rep8,8.9E-06,0.0107
meanDD0.5_varDD1_ploidy4_nQTL5000_nSNP100_nChr10_rep9,-1.7E-06,0.0107
meanDD0.5_varDD1_ploidy6_nQTL100_nSNP100_nChr10_rep1,1.6E-05,0.0096
meanDD0.5_varDD1_ploidy6_nQTL100_nSNP100_nChr10_rep10,6.9E-06,0.0100
meanDD0.5_varDD1_ploidy6_nQTL100_nSNP100_nChr10_rep2,1.6E-05,0.0097
meanDD0.5_varDD1_ploidy6_nQTL100_nSNP100_nChr10_rep3,2.9E-05,0.0095
meanDD0.5_varDD1_ploidy6_nQTL100_nSNP100_nChr10_rep4,1.3E-05,0.0097
meanDD0.5_varDD1_ploidy6_nQTL100_nSNP100_nChr10_rep5,6.4E-06,0.0099
meanDD0.5_varDD1_ploidy6_nQTL100_nSNP100_nChr10_rep6,1.9E-05,0.0094
meanDD0.5_varDD1_ploidy6_nQTL100_nSNP100_nChr10_rep7,-2.4E-06,0.0101
meanDD0.5_varDD1_ploidy6_nQTL100_nSNP100_nChr10_rep8,3.9E-05,0.0096
meanDD0.5_varDD1_ploidy6_nQTL100_nSNP100_nChr10_rep9,1.7E-06,0.0098
meanDD0.5_varDD1_ploidy6_nQTL1000_nSNP100_nChr10_rep1,2.8E-05,0.0096
meanDD0.5_varDD1_ploidy6_nQTL1000_nSNP100_nChr10_rep10,2.5E-05,0.0095
meanDD0.5_varDD1_ploidy6_nQTL1000_nSNP100_nChr10_rep2,2.0E-05,0.0095
